year,month,day,time,second,lat,lon,depth,mag,city
2022,3,9,00:01,34.3,42°0.1'N,139°28.9'E,10,1.3,北海道南西沖
2022,3,9,00:02,8.4,36°50.8'N,138°44.1'E,2,0.4,新潟県中越地方
2022,3,9,00:02,23.8,36°49.8'N,138°43.8'E,7,0.4,新潟県中越地方
2022,3,9,00:07,8.1,34°56.1'N,134°38.2'E,16,0.2,兵庫県南西部
2022,3,9,00:07,10.1,37°29.9'N,137°11.8'E,11,0.5,石川県能登地方
2022,3,9,00:08,46.7,31°15.2'N,130°29.1'E,146,1.4,鹿児島県薩摩地方
2022,3,9,00:09,6.3,35°50.0'N,137°30.4'E,6,0.3,長野県南部
2022,3,9,00:09,15.2,37°12.8'N,141°27.8'E,9,1.4,福島県沖
2022,3,9,00:12,28.3,35°14.4'N,135°41.4'E,13,0.2,京都府南部
2022,3,9,00:14,38.2,39°49.0'N,142°21.5'E,12,1.4,岩手県沖

2022,3,9,00:16,33.3,44°37.8'N,142°9.1'E,0,0.1,上川地方北部
2022,3,9,00:17,32.4,37°30.8'N,137°14.4'E,13,0.9,石川県能登地方
2022,3,9,00:18,3.9,34°46.7'N,138°16.1'E,18,0.4,静岡県中部
2022,3,9,00:18,9.0,34°24.4'N,141°14.3'E,31,1.5,関東東方沖
2022,3,9,00:19,42.6,38°38.4'N,141°39.4'E,54,0.7,宮城県沖
2022,3,9,00:20,27.7,42°41.9'N,142°3.6'E,11,0.8,胆振地方中東部
2022,3,9,00:22,30.5,34°21.4'N,141°8.9'E,40,2.3,関東東方沖
2022,3,9,00:22,42.0,37°26.4'N,140°56.2'E,97,1.0,福島県浜通り
2022,3,9,00:25,38.2,35°18.3'N,138°6.3'E,19,0.1,静岡県中部
2022,3,9,00:25,40.4,35°17.9'N,138°6.2'E,18,0.4,静岡県中部

2022,3,9,00:26,26.2,41°25.7'N,142°26.0'E,39,1.1,青森県東方沖
2022,3,9,00:26,36.4,37°31.0'N,137°16.3'E,13,0.8,石川県能登地方
2022,3,9,00:30,57.7,35°18.3'N,138°8.1'E,23,-0.1,静岡県中部
2022,3,9,00:36,5.7,32°20.5'N,130°28.5'E,10,-0.3,熊本県天草・芦北地方
2022,3,9,00:37,33.7,39°35.0'N,140°30.5'E,10,0.4,秋田県内陸南部
